ID,x,y,impact.ssp126.2050,impact.ssp245.2050,impact.ssp370.2050,impact.ssp585.2050,impact.ssp126.2100,impact.ssp245.2100,impact.ssp370.2100,impact.ssp585.2100
DB129,48.33934,-14.071102,0.4371557659119122,0.3595508633279858,0.44311261264565543,0.43064640367646845,0.44012825298311387,0.33131905244214765,0.4586450621753344,0.43789838645889734
DB130,48.58934,-14.071102,0.5221710223503044,0.35903139440601944,0.48968023016127593,0.43510118684708715,0.5207190258766867,0.6251959421255634,0.4980649822687683,0.44126945799451855
DB97,40.33934,-14.071102,0.5202665150493031,0.4128557451436429,0.490018403094533,0.5406164453749145,0.5534762614719005,0.5345509354657634,0.4656385200881312,0.5366965358732269
DB98,40.58934,-14.071102,0.6026835276559449,0.589369660445865,0.5448031667969884,0.6073283612589896,0.6005545473606897,0.5730581431861694,0.538535966794096,0.562233179256573
DB99,40.83934,-14.071102,0.3382795377489187,0.33100885940773356,0.297668373955434,0.32368993208870755,0.3249659750152933,0.29083047293226194,0.28626025190693744,0.29552653367083925
DC100,41.08934,-14.321102,NA,NA,NA,NA,NA,NA,NA,NA
DC126,47.58934,-14.321102,0.5591824756996829,0.5511256739978603,0.484978629812602,0.5463763295095064,0.5499854821398541,0.5105786641275472,0.4751057962828459,0.49441555678993293
DC127,47.83934,-14.321102,0.7131063546482906,0.7138362296661923,0.6244087446304692,0.7071043100129427,0.7005281611764114,0.6534427761123529,0.6055896053120442,0.6577188524610161
DC128,48.08934,-14.321102,0.6047589992973418,0.5661799082237233,0.5325270090311777,0.5212858942867297,0.591867502926252,0.5024082277167788,0.5353182414878856,0.5187894634725441
DC129,48.33934,-14.321102,0.5319946393775568,0.4292854649249726,0.5000906545668253,0.4822262215931498,0.5224315860152798,0.6260604151160694,0.5096974232766048,0.4850323354270743
DC97,40.33934,-14.321102,0.511931649600044,0.42158589711646133,0.5013446740198705,0.5400464778466535,0.5546458639572639,0.5286115756897148,0.4681535974569993,0.5391624080279104
DC98,40.58934,-14.321102,0.5971640804223042,0.582360374411913,0.5579594029645732,0.6042831305099334,0.5958397961665681,0.5741154542444886,0.5331259077429706,0.5755984393242276
DC99,40.83934,-14.321102,0.5498306087056039,0.5385086321468284,0.426213325196669,0.5312298286437322,0.5487524367075468,0.5139660308911,0.45637696542707334,0.5124910203714421
DD100,41.08934,-14.571102,NA,NA,NA,NA,NA,NA,NA,NA
DD124,47.08934,-14.571102,NA,NA,NA,NA,NA,NA,NA,NA
DD125,47.33934,-14.571102,0.4357956293668515,0.42453968938764824,0.38244873334196317,0.4212958829389394,0.42391205575128554,0.38870240181100607,0.3717096613104484,0.3826453016720105
DD126,47.58934,-14.571102,0.519418289169444,0.5080395346462956,0.45133042244979243,0.495789047562233,0.5106481173043651,0.46354007720217777,0.45437716203342277,0.4305084355092853
DD127,47.83934,-14.571102,0.6412388118694731,0.5657636814318586,0.5651122917216271,0.5058248252078434,0.6245328143387187,0.4139892955894222,0.5721974395836639,0.5369633165104954
DD128,48.08934,-14.571102,0.6174759276823701,0.6124308454666514,0.5445897002918625,0.5502044207334097,0.6031325755946049,0.49503215957292424,0.539052019276122,0.5284128845906988
DD129,48.33934,-14.571102,0.5598118305666069,0.4660141471213268,0.5153613955464239,0.5094116291430166,0.5530011566777518,0.5812819522638124,0.5178548500301702,0.5009442998931524
DD136,50.08934,-14.571102,0.5134469089004617,0.47160691037457864,0.4351907106729698,0.47944202507910944,0.5123660721818093,0.43874200591427903,0.45055119374044916,0.44755673717332545
DD137,50.33934,-14.571102,0.33819835454568176,0.329047937510092,0.3080981677293003,0.3177942961148988,0.33157190080652865,0.2928170677909694,0.30435011018053526,0.2897063918208273
DD97,40.33934,-14.571102,0.4978235673777306,0.45300689610454487,0.5039820096930151,0.5297130554181716,0.5511912212812722,0.5113603200753407,0.46751250842052644,0.5338824270329435
DD98,40.58934,-14.571102,0.44262286917655735,0.45367147454462997,0.5342199122091574,0.4541157381650314,0.44007832668560876,0.45491573627949394,0.519794414866306,0.492385037259901
DD99,40.83934,-14.571102,0.5732755569998712,0.5629814462188615,0.4930517897077397,0.5652797660214506,0.5682326755000706,0.5589204733349915,0.4903749254880571,0.5463364166352336
DE100,41.08934,-14.821102,NA,NA,NA,NA,NA,NA,NA,NA
DE123,46.83934,-14.821102,0.3176666552777191,0.3173526922790333,0.27701123296324803,0.3031519728451115,0.30560446472876257,0.27306642069808806,0.270001496863034,0.2671230368727701
DE124,47.08934,-14.821102,0.24459196531263808,0.240206872175185,0.18621607907845572,0.2260747513291388,0.23112068950472203,0.17219293980417388,0.17792876277524167,0.17219293980417388
DE125,47.33934,-14.821102,0.5803590967000799,0.567707534546905,0.46945514098889957,0.567464009188829,0.5614852084854012,0.5261976328443468,0.48283434211743004,0.5090372520208402
DE126,47.58934,-14.821102,0.6419279884700294,0.6265038670984685,0.48783233466158504,0.6142790876925515,0.6192739775911699,0.552637586960314,0.46469879239649814,0.5393134385661196
DE127,47.83934,-14.821102,0.675125121231472,0.6282686958278014,0.5901120186133111,0.5280443082376376,0.6556448221321377,0.4066070824598819,0.5909073390471093,0.5517600793125904
DE128,48.08934,-14.821102,0.6341245104254482,0.6243292731823687,0.5712972268156489,0.6008780387254555,0.6186543596704998,0.5024690469949817,0.542334979426066,0.5331599315056577
DE129,48.33934,-14.821102,0.5474005774578492,0.4654577576274066,0.5361076941591728,0.5265801291287563,0.5408661720098811,0.6277359937447171,0.5166603508654761,0.4988564906945173
DE136,50.08934,-14.821102,0.5208539886503464,0.4946606507375618,0.5663998284797294,0.5354210385565269,0.5171538132141497,0.7403923785889852,0.4906518981258096,0.5042773742997543
DE137,50.33934,-14.821102,0.5412082292412614,0.5453301056477607,0.4907541311230209,0.52028485179092,0.5483275742126533,0.4883378656649241,0.5170896655506146,0.5222512467311936
DE97,40.33934,-14.821102,0.49332472019077456,0.47639016743092705,0.49250503436484383,0.5202465686997518,0.5417668916014682,0.48735060528933594,0.45210823232573405,0.5164946526371829
DE98,40.58934,-14.821102,0.4368382901414757,0.45896420761280315,0.5182426135404615,0.4440695673046432,0.43062637151665756,0.4504404575622584,0.49960607782051975,0.47793286564864196
DE99,40.83934,-14.821102,0.44970833785175274,0.6066406911948987,0.5682931368346835,0.44931051283740725,0.4468699197576936,0.5150416688581065,0.5704745557634389,0.554376913374142
DF100,41.08934,-15.071102,NA,NA,NA,NA,NA,NA,NA,NA
DF122,46.58934,-15.071102,0.37799181342958355,0.37341369294248145,0.3323680054053998,0.3633604327315312,0.373670269583831,0.3333275412865283,0.3284844662656656,0.33421205997710296
DF123,46.83934,-15.071102,NA,NA,NA,NA,NA,NA,NA,NA
DF124,47.08934,-15.071102,0.5423115458842799,0.5088982783143292,0.5247360611405945,0.5231057832206586,0.5324789139800208,0.538661996229938,0.5219956280815882,0.5374824754599518
DF125,47.33934,-15.071102,0.5632385176011381,0.48421355534011473,0.33079163958899227,0.44767070411667537,0.5011421353902765,0.4043988952719106,0.3266691848774504,0.34615730739673567
DF126,47.58934,-15.071102,0.6165815521677485,0.6428882876251157,0.5572849737369686,0.4937419725613856,0.5957718647107324,0.4433581706219713,0.553115248136365,0.4877357328719182
DF127,47.83934,-15.071102,0.5489975419709325,0.5588150321381536,0.528385920479288,0.47640419041294924,0.5308320499885629,0.4550271090070441,0.5135975931870296,0.4686107449284142
DF128,48.08934,-15.071102,0.5953311768918633,0.5529930039463059,0.5791766511510593,0.5633375148506726,0.5803176982029212,0.4822171908164379,0.5331645132293412,0.5211560231743975
DF135,49.83934,-15.071102,0.4111256259864551,0.4149039485428923,0.45041692000986633,0.43451108876966876,0.39722123413673377,0.4950961132729459,0.4468238569575,0.43611534861444545
DF136,50.08934,-15.071102,0.4647810351797512,0.44909628533988066,0.4655216773695246,0.45736680961819226,0.46719280625491155,0.5973497643140381,0.46838308137987605,0.46413242523629417
DF137,50.33934,-15.071102,0.5127742932886573,0.49156998781193206,0.48471115895201067,0.4874487086535252,0.513444290741023,0.48942335896612466,0.48566711904113524,0.482929548794057
DF97,40.33934,-15.071102,0.5033763816707303,0.5233898172195184,0.48712285759609986,0.519046747920609,0.5325700205939587,0.536187789795585,0.45763511379975214,0.510791322223235
DF98,40.58934,-15.071102,0.4717022529601843,0.5209638893337811,0.7107214416787989,0.47424449047817424,0.473393973029179,0.6177641394936904,0.7559439532090846,0.6956806147261908
DF99,40.83934,-15.071102,0.4477179117033152,0.45909782517080533,0.6794040003392662,0.4581774770022432,0.4456794707798802,0.5476378214923253,0.6612182647667407,0.6324051182550752
DG121,46.33934,-15.321102,0.427062598741944,0.4357220451504624,0.4118513167368112,0.4172114972103499,0.416826280767619,0.28495702753366137,0.4051258879530728,0.3634325468332111
DG122,46.58934,-15.321102,0.47693971604030916,0.4839099872607089,0.44183230203920304,0.4470231194485692,0.4667609149113051,0.4369901078955819,0.4383450001794327,0.4113583513685041
DG123,46.83934,-15.321102,0.5372762603453332,0.5037143937971751,0.5260870134718632,0.5422523205086379,0.5250803212896942,0.5320228991643127,0.5225634739507741,0.5380743099389464
DG124,47.08934,-15.321102,0.571361321824881,0.5049891138310247,0.5354670191663349,0.5237938015551244,0.5641104599544525,0.596517058050721,0.5297165881568705,0.5572663490774022
DG125,47.33934,-15.321102,0.5514561439988932,0.4889439321247339,0.49004609785699244,0.47071345883911636,0.5312074671419962,0.5322839716658757,0.4797431541742437,0.4617299854294122
DG126,47.58934,-15.321102,0.5843046686437601,0.5068815102762513,0.4997256887515102,0.46421624493975655,0.5670626431028128,0.5676895699273632,0.4881071614062455,0.4402039420468995
DG134,49.58934,-15.321102,0.5156407659093134,0.5358014410204078,0.5223132528629608,0.4963798869070222,0.5357883219536345,0.6871759039165735,0.4877335847027709,0.49708872949176897
DG135,49.83934,-15.321102,0.5672725598638241,0.568000962584015,0.4553720418055881,0.5629190247779557,0.49921290278865793,0.4087199322413899,0.5293973561705159,0.44900322975775875
DG136,50.08934,-15.321102,0.4403729223066151,0.4155680114729558,0.4398166399838741,0.43440571447571913,0.4391018804445897,0.44863481680431744,0.453188010772571,0.4443503113302387
DG97,40.33934,-15.321102,0.4889236090600377,0.7209949905353504,0.4756802783107565,0.49672414959254596,0.5032214260532295,0.6635423310347136,0.47161169765724414,0.4946975067024882
DG98,40.58934,-15.321102,0.38545184305594543,0.5428650239485588,0.4994349722288534,0.4174698936935031,0.39201133530270826,0.4350335432442631,0.451851555919687,0.38715794859890534
DG99,40.83934,-15.321102,NA,NA,NA,NA,NA,NA,NA,NA
DH117,45.33934,-15.571102,NA,NA,NA,NA,NA,NA,NA,NA
DH118,45.58934,-15.571102,0.49534914170328914,0.4735107075102087,0.49186216359528623,0.46406419157701584,0.5017404807179149,0.4772542879887359,0.48779716813929475,0.4772811414327765
DH119,45.83934,-15.571102,0.3424368754927865,0.3109337762856741,0.3109575094430257,0.3051541417900913,0.3329244712203888,0.2721487673717641,0.32516009710151594,0.27497326567943925
DH120,46.08934,-15.571102,0.3686606772811938,0.34881154434357575,0.357323737083322,0.3370096849999188,0.3677266531756264,0.3361010217924033,0.34881154434357575,0.33790913456474236
DH121,46.33934,-15.571102,0.5493756618586594,0.4417240666631331,0.5281007878842982,0.5158373932285468,0.5204492428818329,0.5712254408428116,0.5279041945398165,0.5347719064092465
DH122,46.58934,-15.571102,0.5896429176973325,0.42554481835623226,0.5482256470236019,0.5347551668900636,0.5469258880636764,0.6195717216795021,0.5477754681197551,0.57295941542864115
DH123,46.83934,-15.571102,0.5507075105886186,0.4765762099913264,0.4998038651449339,0.48874881446121315,0.5310497100154038,0.7713295622835552,0.4995474799885472,0.4933300998822787
DH124,47.08934,-15.571102,0.5830036828037789,0.47433273455657077,0.49521433738700454,0.4884188071417896,0.5596875188744652,0.6392356114727391,0.48642118200809753,0.47384521384091494
DH125,47.33934,-15.571102,0.5532285515472769,0.45697211920179037,0.4809863571279977,0.4667282500017788,0.5364568415203216,0.5384923980349128,0.47179386564832165,0.44539454493566205
DH126,47.58934,-15.571102,0.5867122476837805,0.48712703912988947,0.49487412693815,0.4752923095954729,0.5682989647680787,0.6084578385241506,0.4810217558093473,0.44071619274821056
DH134,49.58934,-15.571102,0.5782857943307158,0.5946582859686687,0.6074925849257551,0.6123098902167939,0.6122988472665083,0.6189089776297594,0.773313004433687,0.6883205489368482
DH135,49.83934,-15.571102,0.6754487055399154,0.6717046495771553,0.6808234046619897,0.6804849260786797,0.6451343531347778,0.6849125437073272,0.8119769663800622,0.7437378711928817
DH136,50.08934,-15.571102,0.315431272597622,0.318039928918646,0.27796010967899726,0.3023887160667399,0.291753274865565,0.2274677833915281,0.2721093889541592,0.22044504009191124
DH137,50.33934,-15.571102,0.566748912420777,0.54248810522022,0.505889005275994,0.586590041975952,0.507406302109394,0.5063293127727047,0.6192025318653297,0.48586364530074394
DH138,50.58934,-15.571102,0.4176118404757161,0.41499173118710997,0.4088633076345765,0.43518960152025693,0.3963711910399811,0.35017903823772883,0.3968998622342869,0.4065205820124617
DH153,54.33934,-15.571102,NA,NA,NA,NA,NA,NA,NA,NA
DH154,54.58934,-15.571102,NA,NA,NA,NA,NA,NA,NA,NA
DH96,40.08934,-15.571102,0.4635415037989223,1.083405202304621,0.4596245848491637,0.47514422876066065,0.48177237395488187,1.4290270019209854,0.4630564793939903,0.4778221671057697
DH97,40.33934,-15.571102,0.5310097270167513,0.5587750040118908,0.5629117811826506,0.5542929442879195,0.4986392032115587,0.5199758485898933,0.555379621294669,0.5521713738984324
