HH_ID,Sensitivity,Adaptation capacity,Subsistence,Demography,Culture,Health,Learning,Assets,Flexibility,Agency,Organization
NMN250,0.2764359,0.433914841,0.107556167,0.042691733,0.050112,0.076076,0.075421694,0.013188,0.060300667,0.155914286,0.129090194
NMN268,0.291882952,0.439103182,0.084648667,0.041443886,0.0897144,0.076076,0.06991125,0.056418253,0.035810167,0.150146429,0.126817083
NMN259,0.309746967,0.351338544,0.107556167,0.0264708,0.099644,0.076076,0.094092347,0.025461776,0.022296167,0.104732143,0.104756111
NMN252,0.359174567,0.450120569,0.107556167,0.0493544,0.050112,0.152152,0.051240597,0.049940158,0.063935333,0.155914286,0.129090194
NMN267,0.256554567,0.482110939,0.107556167,0.0493544,0.099644,0,0.098519306,0.058301896,0.0507645,0.158403571,0.116121667
NMN261,0.3233868,0.426569999,0.084648667,0.019770133,0.066816,0.152152,0.105641153,0.033909965,0.025930833,0.151785714,0.109302333
NMN251,0.306247067,0.459385393,0.084648667,0.0193344,0.050112,0.152152,0.077561014,0.015241994,0.077449333,0.160042857,0.129090194
NMN266,0.389204133,0.484440551,0.084648667,0.045985067,0.1064184,0.152152,0.064400806,0.094928011,0.050421333,0.150146429,0.124543972
NMN262,0.276807467,0.384861285,0.084648667,0.0164388,0.099644,0.076076,0.088581903,0.021353787,0.022296167,0.150146429,0.102483
NMN260,0.309746967,0.349722783,0.107556167,0.0264708,0.099644,0.076076,0.094092347,0.019299793,0.022296167,0.104732143,0.109302333
NMG139,0.457392533,0.359285747,0.11968,0.019770133,0.0897144,0.228228,0.077709333,0.041307224,0.034307,0.117117857,0.088844333
NMG171,0.434623422,0.365806275,0.084648667,0.015328356,0.1064184,0.228228,0.079813458,0.035963959,0.027028,0.120517857,0.102483
NMG173,0.5161459,0.346621549,0.1425875,0.038912,0.1064184,0.228228,0.049101278,0.016709081,0.074849,0.117117857,0.088844333
NMG215,0.315926567,0.511743639,0.107556167,0.0493544,0.08294,0.076076,0.043590833,0.034496873,0.142762167,0.161803571,0.129090194
NMG184,0.459647,0.421654294,0.102164333,0.039540267,0.0897144,0.228228,0.083071458,0.032442879,0.040542,0.150146429,0.115451528
NMG145,0.399588633,0.44527881,0.125071833,0.0493544,0.0730104,0.152152,0.066540125,0.036550868,0.098242333,0.153546429,0.090399056
