ID,sea_level_245_2050,sea_level_370_2050,sea_level_585_2050,TC,tc_245_2050,tc_370_2050,tc_585_2050
DN88,0.3770112343525328,0.4867315843938939,0.6055087513889086,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DN89,0.386083886750913,0.49399364672758933,0.6148979393237359,6,0.41273128322567415,0.41273128322567415,0.41273128322567415
DN90,0.3942375462576253,0.5017332584107911,0.6276950334052778,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DN91,0.4042687862511421,0.5112171048961814,0.6434234975678941,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DN92,0.41210476637027654,0.5197559460693125,0.6624680461541285,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DN93,0.4189815254295434,0.5280597244721086,0.678810070791348,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DO106,0.402096639386673,0.5247773923599882,0.6241270928194463,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DO107,0.3921083340689042,0.5157590924232093,0.6116194661196862,19,0.8176440933652277,0.8176440933652277,0.8176440933652277
DO110,0.3516377590397656,0.4857359143337491,0.587511463595177,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DO111,0.33276769026973885,0.4769209010404498,0.5829607122101923,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DO112,0.3084364975629652,0.4704197523242946,0.5768918477425772,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DO113,0.286214835271739,0.4635909994217595,0.5699107052400618,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DO133,0.24833371136855184,0.44789046126046583,0.5485216269297063,5,0.3720849079497224,0.3720849079497224,0.3720849079497224
DO134,0.27743173402074184,0.45213890850838956,0.5527780256913928,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DO135,0.3026456264440161,0.4566658930010289,0.5585158007820402,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
DO136,0.3258480375335685,0.46127285886451236,0.5638773354871747,8,0.48545572694731154,0.48545572694731154,0.48545572694731154
